acc_train,acc_val,loss_train,loss_val
0.118,0.122,3.1942503452301025,2.3368258476257324
0.13,0.122,3.014547109603882,2.274773120880127
0.132,0.122,3.0165317058563232,2.2098748683929443
0.126,0.122,2.6809921264648438,2.156620979309082
0.116,0.122,2.7874584197998047,2.114680290222168
0.156,0.122,2.636347770690918,2.0795412063598633
0.142,0.122,2.577263593673706,2.052462100982666
0.142,0.122,2.6550819873809814,2.0237064361572266
0.14,0.122,2.5380568504333496,1.99836266040802
0.1,0.124,2.511367082595825,1.9730138778686523
0.144,0.134,2.401259422302246,1.9504756927490234
0.15,0.176,2.404172420501709,1.9299848079681396
0.164,0.28,2.2657625675201416,1.9169375896453857
0.158,0.47,2.4735398292541504,1.906636118888855
0.172,0.498,2.258283853530884,1.9017657041549683
0.154,0.482,2.3621530532836914,1.8960561752319336
0.16,0.474,2.3616037368774414,1.892289638519287
0.134,0.432,2.31557559967041,1.892337679862976
0.114,0.294,2.383070230484009,1.8906904458999634
0.148,0.2,2.2171881198883057,1.8892157077789307
0.158,0.176,2.290126085281372,1.887585163116455
0.182,0.164,2.1557130813598633,1.8854326009750366
0.158,0.152,2.221606731414795,1.8831188678741455
0.13,0.15,2.2010459899902344,1.8815425634384155
0.138,0.142,2.2172865867614746,1.8819687366485596
0.142,0.152,2.240882396697998,1.8819615840911865
0.154,0.168,2.1746928691864014,1.8806781768798828
0.164,0.162,2.2154200077056885,1.8809596300125122
0.146,0.16,2.19791316986084,1.8788024187088013
0.154,0.162,2.124413013458252,1.876095175743103
0.16,0.162,2.1682190895080566,1.8751593828201294
0.154,0.164,2.150714874267578,1.8742328882217407
0.138,0.176,2.2287280559539795,1.8711849451065063
0.176,0.192,2.070415735244751,1.8681496381759644
0.164,0.2,2.128171443939209,1.8656789064407349
0.152,0.224,2.188187599182129,1.8639531135559082
0.138,0.254,2.1652045249938965,1.8631986379623413
0.166,0.284,2.107922077178955,1.8626158237457275
0.146,0.304,2.1341700553894043,1.8609453439712524
0.15,0.31,2.1688108444213867,1.8579150438308716
0.156,0.336,2.1353402137756348,1.8554342985153198
0.156,0.386,2.2420661449432373,1.8525032997131348
0.142,0.428,2.1149117946624756,1.8490056991577148
0.192,0.49,2.055023670196533,1.8439441919326782
0.18,0.622,2.0667006969451904,1.8360503911972046
0.162,0.682,2.0497865676879883,1.8288397789001465
0.162,0.706,2.0727787017822266,1.8209413290023804
0.204,0.728,1.9911421537399292,1.814767599105835
0.17,0.71,2.067378282546997,1.8074405193328857
0.186,0.686,2.054464817047119,1.8011622428894043
0.18,0.664,2.055758476257324,1.7954248189926147
0.18,0.64,2.0117008686065674,1.7888033390045166
0.18,0.644,2.008671760559082,1.7836030721664429
0.204,0.642,1.991701364517212,1.7792081832885742
0.204,0.634,2.022914409637451,1.7745109796524048
0.196,0.638,1.9770334959030151,1.7713788747787476
0.208,0.652,1.953879475593567,1.7693225145339966
0.186,0.66,1.9699684381484985,1.7683942317962646
0.226,0.694,1.964543104171753,1.7664974927902222
0.174,0.708,1.9575613737106323,1.7640795707702637
0.204,0.72,1.9142584800720215,1.763310194015503
0.196,0.754,1.9514998197555542,1.7635802030563354
0.206,0.756,1.9391262531280518,1.7630890607833862
0.206,0.742,1.946590542793274,1.7633305788040161
0.232,0.752,1.8823411464691162,1.7629152536392212
0.19,0.77,1.951393485069275,1.7628026008605957
0.218,0.768,1.916520357131958,1.7631514072418213
0.24,0.752,1.8936480283737183,1.763153314590454
0.24,0.744,1.9530632495880127,1.763633370399475
0.244,0.712,1.9178394079208374,1.7645354270935059
0.212,0.67,1.9642285108566284,1.7660521268844604
0.224,0.662,1.911948800086975,1.7659099102020264
0.222,0.652,1.904710054397583,1.764001727104187
0.258,0.67,1.8735202550888062,1.759316325187683
0.208,0.686,1.8866548538208008,1.7535046339035034
0.208,0.692,1.8958871364593506,1.7479503154754639
0.224,0.712,1.8574963808059692,1.740857720375061
0.234,0.716,1.8958332538604736,1.7354754209518433
0.224,0.726,1.9093918800354004,1.7302970886230469
0.228,0.738,1.8897075653076172,1.725022554397583
0.25,0.74,1.8686422109603882,1.7205548286437988
0.234,0.746,1.8824480772018433,1.7160125970840454
0.204,0.758,1.8932709693908691,1.7101577520370483
0.276,0.762,1.8439104557037354,1.7047221660614014
0.28,0.76,1.8236972093582153,1.698472023010254
0.278,0.752,1.8396797180175781,1.6918376684188843
0.278,0.752,1.8000274896621704,1.6848679780960083
0.266,0.742,1.8422818183898926,1.6784014701843262
0.316,0.738,1.7702624797821045,1.672060489654541
0.25,0.726,1.8255140781402588,1.664693832397461
0.308,0.734,1.7932298183441162,1.6589469909667969
0.294,0.746,1.7694653272628784,1.6538715362548828
0.316,0.752,1.7618340253829956,1.6506156921386719
0.336,0.78,1.7369465827941895,1.6489026546478271
0.288,0.798,1.8015122413635254,1.648248314857483
0.376,0.81,1.7174530029296875,1.6477117538452148
0.334,0.816,1.7350741624832153,1.6462595462799072
0.298,0.816,1.774565577507019,1.6454501152038574
0.326,0.816,1.7697992324829102,1.6447639465332031
0.328,0.808,1.7531187534332275,1.6432019472122192
